source,target,r,p,t,n,type1,type2,name1,name2,fdr
HBA1C,FPG,0.286260446295832,2.07137817206752e-10,6.49766885711132,477,CLN,CLN,HbA1c (%),Fasting plasma glucose (mmol/L),1.13974884254521e-08
HBA1C,PBG,0.40633831279219,3.1287838799767e-20,9.6512554640637,475,CLN,CLN,HbA1c (%),Two-hours postprandial blood glucose (mmol/L),3.24331971844013e-18
HBA1C,HOMA.B,-0.358001829297469,1.0180053539698802e-15,-8.31222139282409,474,CLN,CLN,HbA1c (%),HOMA-B,8.56452330405097e-14
HBA1C,ALT,0.208240148029747,4.61343697350018e-06,4.63532580873755,478,CLN,CLN,HbA1c (%),Alanine aminotransferase (U/L),0.0001278329433468
HBA1C,AST,0.149487551044583,0.0010707042107443,3.29155960986005,478,CLN,CLN,HbA1c (%),Aspartate aminotransferase (U/L),0.0152656915909416
HBA1C,HSCRP,0.190390556152748,7.8272997413281e-05,3.98871555729159,427,CLN,CLN,HbA1c (%),Hypersensitive C-reactive protein (mg/L),0.0016477778784554
HBA1C,HDLC,-0.17914348808656,8.64211656045114e-05,-3.96017742793962,477,CLN,CLN,HbA1c (%),HDL-cholesterol (mmol/L),0.0017932971093268
HBA1C,RBC,0.194125787296659,2.30404912211099e-05,4.27644609754728,471,CLN,CLN,HbA1c (%),Erythrocyte count (1012/L),0.0005515466042826
HBA1C,HB,0.14733837673146,0.0013752999977137,3.21914250611245,471,CLN,CLN,HbA1c (%),Hemoglobin (g/L),0.0186949129162196
HBA1C,HOMA.IR,0.180631351094846,7.93283555304673e-05,3.98148635998922,474,CLN,CLN,HbA1c (%),HOMA-IR,0.0016669723216447
HBA1C,exRNA000003,0.219620476705964,1.9711326611083e-05,4.32434889963353,373,CLN,MIR,HbA1c (%),hsa-miR-122-5p,0.0004782622820369
HBA1C,exRNA000183,0.160443324797597,0.001934977749536,3.1224670153817,373,CLN,MIR,HbA1c (%),hsa-miR-193b-5p,0.0249196801687339
HBA1C,A2M,-0.169865810458763,0.0004945416568602,-3.51146099806137,419,CLN,PRT,HbA1c (%),A2M,0.0079359068917038
HBA1C,APOA2,-0.150443715637171,0.0020666990465426,-3.10005452848849,419,CLN,PRT,HbA1c (%),APOA2,0.0262808060573501
HBA1C,APOA4,-0.172757017037433,0.000394270184416,-3.57305070126008,419,CLN,PRT,HbA1c (%),APOA4,0.0065768345417677
HBA1C,PON1,-0.153401619954164,0.0016793456552524,-3.16245969458323,419,CLN,PRT,HbA1c (%),PON1,0.0221937428087438
HBA1C,PZP,-0.204692052095537,2.53048244948841e-05,-4.26009559330027,419,CLN,PRT,HbA1c (%),PZP,0.0005995694130318
HBA1C,TF,-0.139367602040066,0.0043533768072091,-2.86711489887798,419,CLN,PRT,HbA1c (%),TF,0.0471480454586736
HBA1C,MP0012,0.15930379908549,0.0010978152529935,3.2872445150143,419,CLN,MTB,HbA1c (%),3-Hydroxybutyric acid,0.0156005325425399
HBA1C,MP0021,0.162918996027393,0.0008400488498413,3.36385523815232,419,CLN,MTB,HbA1c (%),Adipoylcarnitine,0.0124877940418161
HBA1C,MP0033,-0.281235150537734,5.09279556119524e-09,-5.97015781449918,419,CLN,MTB,HbA1c (%),Carnitine,2.34632366926495e-07
HBA1C,MP0042,0.142949793529915,0.0034402161271042,2.9423265597977,419,CLN,MTB,HbA1c (%),D-Gluconolactone,0.039428340805213
HBA1C,MP0043,0.323879940457956,1.2227101482347499e-11,6.97383853131549,419,CLN,MTB,HbA1c (%),D-Glucose,7.47140253737128e-10
HBA1C,MP0080,0.142919816147347,0.0034470755763433,2.94169666969708,419,CLN,MTB,HbA1c (%),Isocitric acid,0.0394874666416833
FPG,PBG,0.478129445160409,1.66840512869132e-28,11.8396381509863,477,CLN,CLN,Fasting plasma glucose (mmol/L),Two-hours postprandial blood glucose (mmol/L),2.45192196760838e-26
FPG,FINS,0.349092405872684,4.64695248840397e-15,8.10196669585056,477,CLN,CLN,Fasting plasma glucose (mmol/L),Fasting insulin (mU/L),3.67014410818845e-13
FPG,HOMA.B,-0.354591674071613,1.8459626337546103e-15,-8.23033485059609,475,CLN,CLN,Fasting plasma glucose (mmol/L),HOMA-B,1.51997348779369e-13
FPG,UMA,0.216710404736002,1.77489173249992e-06,4.83806588419511,479,CLN,CLN,Fasting plasma glucose (mmol/L),Urine microalbumin (mg/L),5.3943698990377e-05
FPG,UMACRR,0.264969211810104,4.33155820839876e-09,5.98262582964689,478,CLN,CLN,Fasting plasma glucose (mmol/L),Urine microalbumin creatinine ratio (mg/mmol),2.01560684567173e-07
FPG,HSCRP,0.163286295528532,0.0007274352132126,3.40398919571419,427,CLN,CLN,Fasting plasma glucose (mmol/L),Hypersensitive C-reactive protein (mg/L),0.0110388838190354
FPG,LDLC,0.205411590825669,6.38379483669356e-06,4.564747106414,477,CLN,CLN,Fasting plasma glucose (mmol/L),LDL-cholesterol (mmol/L),0.0001719625476891
FPG,TC,0.228374885038883,4.8834704985439e-07,5.10164542046324,477,CLN,CLN,Fasting plasma glucose (mmol/L),Total cholesterol (mmol/L),1.63864429156343e-05
FPG,WBC,0.175055990957208,0.0001387251914677,3.84232327488062,471,CLN,CLN,Fasting plasma glucose (mmol/L),Leukocyte count (109/L),0.002704617083023
FPG,RBC,0.312240458750417,4.59154808145792e-12,7.10268562741403,471,CLN,CLN,Fasting plasma glucose (mmol/L),Erythrocyte count (1012/L),3.0202761034406003e-10
