"id","name","week","arm","n","mean","sd","se","ci","median","iqr","type"
"exRNA000001","hsa-miR-92a-3p",0,"CG32",192,0,0,0,0,0,0,"MIR"
"exRNA000001","hsa-miR-92a-3p",0,"CG48",197,0,0,0,0,0,0,"MIR"
"exRNA000001","hsa-miR-92a-3p",0,"PB",99,0,0,0,0,0,0,"MIR"
"exRNA000001","hsa-miR-92a-3p",0,"SP",123,0,0,0,0,0,0,"MIR"
"exRNA000001","hsa-miR-92a-3p",12,"CG32",192,-0.0104440057242051,0.347086043682614,0.0250487775940149,0.049407761694327,-0.0266968499516658,0.346516304477866,"MIR"
"exRNA000001","hsa-miR-92a-3p",12,"CG48",197,0.0423347877992165,0.378842164764113,0.0269913866504767,0.0532308262432235,0.0184829937172353,0.398248133492825,"MIR"
"exRNA000001","hsa-miR-92a-3p",12,"PB",99,0.0397860332713787,0.442424226807782,0.044465307832864,0.0882399562490196,-0.0268123733610715,0.462653521613667,"MIR"
"exRNA000001","hsa-miR-92a-3p",12,"SP",123,-0.0179913694511666,0.352778644126441,0.031808979116796,0.0629690511943929,-0.0277265605502777,0.300010797396801,"MIR"
"exRNA000001","hsa-miR-92a-3p",24,"CG32",189,0.0232674438642761,0.350369422660501,0.0254856254053924,0.0502745424292226,0.0260326068408858,0.380221958597645,"MIR"
"exRNA000001","hsa-miR-92a-3p",24,"CG48",193,0.0366697708593987,0.379524113166542,0.0273187434446207,0.0538833937173204,0.0183350897486889,0.379011186620595,"MIR"
"exRNA000001","hsa-miR-92a-3p",24,"PB",78,0.0615800113037989,0.417697026195493,0.047294874999165,0.0941761277214316,0.0780904253006316,0.471152071291902,"MIR"
"exRNA000001","hsa-miR-92a-3p",24,"SP",126,-0.00866020296202947,0.304899760724491,0.0271626295700095,0.0537582150573532,-0.00544993120064241,0.366944080498887,"MIR"
"exRNA000002","hsa-miR-451a",0,"CG32",192,0,0,0,0,0,0,"MIR"
"exRNA000002","hsa-miR-451a",0,"CG48",197,0,0,0,0,0,0,"MIR"
"exRNA000002","hsa-miR-451a",0,"PB",99,0,0,0,0,0,0,"MIR"
"exRNA000002","hsa-miR-451a",0,"SP",123,0,0,0,0,0,0,"MIR"
"exRNA000002","hsa-miR-451a",12,"CG32",192,0.0552113811457422,0.732283547608855,0.0528480129168883,0.104240696713289,0.0508800120844999,0.74875216368125,"MIR"
"exRNA000002","hsa-miR-451a",12,"CG48",197,0.0132584641216261,0.716344710108088,0.0510374473696456,0.100653053806085,-0.0141086860223929,0.654786862452681,"MIR"
"exRNA000002","hsa-miR-451a",12,"PB",99,-0.00177735879206736,0.752384682556144,0.0756175057590722,0.150060479169987,-0.00883425478381383,0.941438464431901,"MIR"
"exRNA000002","hsa-miR-451a",12,"SP",123,0.0699873104565681,0.613270598423617,0.0552967476432901,0.109465434915362,0.0626189528553098,0.539240345160627,"MIR"
"exRNA000002","hsa-miR-451a",24,"CG32",189,0.0827808353674692,0.740031432728132,0.0538293659860839,0.106187182035286,0.0511139575856667,0.67782309595631,"MIR"
"exRNA000002","hsa-miR-451a",24,"CG48",193,0.0141566481240011,0.822822419987231,0.0592280537975967,0.11682120549783,0.0731273167636708,0.750381655295026,"MIR"
"exRNA000002","hsa-miR-451a",24,"PB",78,-0.0646860700849293,1.01354308981637,0.114761156371503,0.228518657044608,-0.0812460489060705,1.20813035266796,"MIR"
"exRNA000002","hsa-miR-451a",24,"SP",126,0.159461215070559,0.709754185299116,0.0632299283385276,0.125139875611918,0.0754069774902444,0.648470271738976,"MIR"
"exRNA000003","hsa-miR-122-5p",0,"CG32",192,0,0,0,0,0,0,"MIR"
"exRNA000003","hsa-miR-122-5p",0,"CG48",197,0,0,0,0,0,0,"MIR"
"exRNA000003","hsa-miR-122-5p",0,"PB",99,0,0,0,0,0,0,"MIR"
"exRNA000003","hsa-miR-122-5p",0,"SP",123,0,0,0,0,0,0,"MIR"
"exRNA000003","hsa-miR-122-5p",12,"CG32",192,-0.467235288563481,1.2699635028549,0.0916517212792844,0.180779536520127,-0.510794084017405,1.51523099256795,"MIR"
"exRNA000003","hsa-miR-122-5p",12,"CG48",197,-0.438438858435082,1.35483471395955,0.0965279765908312,0.190366801678407,-0.457677774785669,1.5853492796337,"MIR"
"exRNA000003","hsa-miR-122-5p",12,"PB",99,-0.0117592597180124,1.40349500931457,0.141056555788873,0.279922144208077,-0.106190580982481,1.61010286422544,"MIR"
"exRNA000003","hsa-miR-122-5p",12,"SP",123,-0.0991429214424046,1.15285883360234,0.103949780331734,0.205778972513412,-0.0919584220751659,1.18077133594753,"MIR"
"exRNA000003","hsa-miR-122-5p",24,"CG32",189,-0.55133808752784,1.4618837836739,0.106336398347843,0.209765845862986,-0.534596022008401,1.75124659684505,"MIR"
"exRNA000003","hsa-miR-122-5p",24,"CG48",193,-0.56248015172721,1.48349441880001,0.106784264880003,0.210620909377031,-0.609727232903275,1.55740107670774,"MIR"
"exRNA000003","hsa-miR-122-5p",24,"PB",78,0.0199233395214097,1.22538329018343,0.138747335749924,0.276281242160463,0.0882456638863864,1.6747446374887,"MIR"
"exRNA000003","hsa-miR-122-5p",24,"SP",126,-0.212167906020099,1.41690943232809,0.126228324853811,0.249821521010355,-0.208468109130158,1.69444418722829,"MIR"
"exRNA000004","hsa-let-7a-5p",0,"CG32",192,0,0,0,0,0,0,"MIR"
"exRNA000004","hsa-let-7a-5p",0,"CG48",197,0,0,0,0,0,0,"MIR"
"exRNA000004","hsa-let-7a-5p",0,"PB",99,0,0,0,0,0,0,"MIR"
"exRNA000004","hsa-let-7a-5p",0,"SP",123,0,0,0,0,0,0,"MIR"
"exRNA000004","hsa-let-7a-5p",12,"CG32",192,0.0891146807178561,0.510058631592837,0.0368103110315771,0.0726069393412944,0.0762090903724326,0.650246845645277,"MIR"
"exRNA000004","hsa-let-7a-5p",12,"CG48",197,0.0560359225273811,0.566851557334794,0.0403865012411565,0.07964788389639,0.0814941189480525,0.69120547658663,"MIR"
