"ID","Name","HMDB ID","KEGG ID","Class","Class2"
MP0149,2-Phenylglycine,HMDB0002210,,Amino Acids,Amino Acids
MP0156,5-Aminolevulinic acid,HMDB0001149,C00430,Amino Acids,Amino Acids
MP0026,Alpha-N-Phenylacetyl-L-Glutamine,HMDB0006344,C04148,Amino Acids,Amino Acids
MP0159,Aminoadipic acid,HMDB0000510,C00956,Amino Acids,Amino Acids
MP0160,Aminocaproic acid,HMDB0001901,C02378,Amino Acids,Amino Acids
MP0029,Beta-Alanine,HMDB0000056,C00099,Amino Acids,Amino Acids
MP0038,Citrulline,HMDB0000904,C00327,Amino Acids,Amino Acids
MP0039,Creatine [MS],HMDB0000064,C00300,Amino Acids,Amino Acids
MS009,Creatine [NMR Small],HMDB0000064,C00300,Amino Acids,Amino Acids
MP0050,Dimethylglycine,HMDB0000092,C01026,Amino Acids,Amino Acids
MP0064,Glycine [MS],HMDB0000123,C00037,Amino Acids,Amino Acids
MS010,Glycine [NMR Small],HMDB0000123,C00037,Amino Acids,Amino Acids
MP0069,Glycylproline,HMDB0000721,,Amino Acids,Amino Acids
MP0070,Guanidoacetic acid,HMDB0000128,C00581,Amino Acids,Amino Acids
MP0073,Hippuric acid,HMDB0000714,C01586,Amino Acids,Amino Acids
MP0082,Ketoleucine,HMDB0000695,C00233,Amino Acids,Amino Acids
MP0083,L-Alanine [MS],HMDB0000161,C00041,Amino Acids,Amino Acids
MS023,L-Alanine [NMR Small],HMDB0000161,C00041,Amino Acids,Amino Acids
MP0084,L-Alpha-Aminobutyric acid,HMDB0000452,C02356,Amino Acids,Amino Acids
MP0175,L-Arginine,HMDB0000517,C00062,Amino Acids,Amino Acids
MP0085,L-Asparagine,HMDB0000168,C00152,Amino Acids,Amino Acids
MP0086,L-Aspartic acid,HMDB0000191,C00049,Amino Acids,Amino Acids
MP0087,L-Glutamic acid [MS],HMDB0000148,C00025,Amino Acids,Amino Acids
MS015,L-Glutamic acid [NMR Small],HMDB0000148,C00025,Amino Acids,Amino Acids
MP0088,L-Glutamine [MS],HMDB0000641,C00064,Amino Acids,Amino Acids
MS013,L-Glutamine [NMR Small],HMDB0000641,C00064,Amino Acids,Amino Acids
MP0089,L-Histidine [MS],HMDB0000177,C00135,Amino Acids,Amino Acids
MS002,L-Histidine [NMR Small],HMDB0000177,C00135,Amino Acids,Amino Acids
MP0090,L-Homocitrulline,HMDB0000679,C02427,Amino Acids,Amino Acids
MP0091,L-Homoserine,HMDB0000719,C00263,Amino Acids,Amino Acids
MP0176,L-Isoleucine [MS],HMDB0000172,C00407,Amino Acids,Amino Acids
MS027,L-Isoleucine [NMR Small],HMDB0000172,C00407,Amino Acids,Amino Acids
MP0093,L-Leucine [MS],HMDB0000687,C00123,Amino Acids,Amino Acids
MS028,L-Leucine [NMR Small],HMDB0000687,C00123,Amino Acids,Amino Acids
MP0094,L-Lysine [MS],HMDB0000182,C00047,Amino Acids,Amino Acids
MS021,L-Lysine [NMR Small],HMDB0000182,C00047,Amino Acids,Amino Acids
MP0096,L-Methionine,HMDB0000696,C00073,Amino Acids,Amino Acids
MP0097,L-Pipecolic acid,HMDB0000716,C00408,Amino Acids,Amino Acids
MP0098,L-Proline,HMDB0000162,C00148,Amino Acids,Amino Acids
MP0099,L-Serine,HMDB0000187,C00065,Amino Acids,Amino Acids
MP0100,L-Threonine,HMDB0000167,C00188,Amino Acids,Amino Acids
MP0101,L-Tryptophan,HMDB0000929,C00078,Amino Acids,Amino Acids
MP0102,L-Tyrosine [MS],HMDB0000158,C00082,Amino Acids,Amino Acids
MS004,L-Tyrosine [NMR Small],HMDB0000158,C00082,Amino Acids,Amino Acids
MP0103,L-Valine [MS],HMDB0000883,C00183,Amino Acids,Amino Acids
MS026,L-Valine [NMR Small],HMDB0000883,C00183,Amino Acids,Amino Acids
MP0109,Methylcysteine,HMDB0002108,,Amino Acids,Amino Acids
MP0185,N-Acetylglutamine,HMDB0006029,,Amino Acids,Amino Acids
MP0019,N-Acetylglycine,HMDB0000532,,Amino Acids,Amino Acids
MP0118,N-Acetyl-L-aspartic acid,HMDB0000812,C01042,Amino Acids,Amino Acids
MP0120,N-Acetylserine,HMDB0002931,,Amino Acids,Amino Acids
MP0126,Ornithine,HMDB0000214,C00077,Amino Acids,Amino Acids
MP0135,Pyroglutamic acid,HMDB0000267,C01879,Amino Acids,Amino Acids
MP0137,Sarcosine,HMDB0000271,C00213,Amino Acids,Amino Acids
MP0004,Selenomethionine,HMDB0003966,,Amino Acids,Amino Acids
MP0151,"3,4-Dihydroxymandelic acid",HMDB0001866,C05580,Benzenoids,Benzenoids
MP0155,4-Hydroxybenzoic acid,HMDB0000500,C00156,Benzenoids,Benzenoids
MP0017,4-Hydroxyphenylpyruvic acid,HMDB0000707,C01179,Benzenoids,Benzenoids
MP0074,Homovanillic acid,HMDB0000118,C05582,Benzenoids,Benzenoids
MP0180,m-Aminobenzoic acid,HMDB0001891,,Benzenoids,Benzenoids
MP0184,Mandelic acid,HMDB0000703,C01984,Benzenoids,Benzenoids
MP0187,Ortho-Hydroxyphenylacetic acid,HMDB0000669,C05852,Benzenoids,Benzenoids
MP0131,Phenylacetic acid,HMDB0000209,C07086,Benzenoids,Benzenoids
MP0195,Phthalic acid,HMDB0002107,C01606,Benzenoids,Benzenoids
MP0189,p-Hydroxymandelic acid,HMDB0000822,C11527,Benzenoids,Benzenoids
MP0190,p-Hydroxyphenylacetic acid,HMDB0000020,C00642,Benzenoids,Benzenoids
MS030,Bile acids,,,Bile Acids,Bile Acids
MP0034,Chenodeoxycholic acid,HMDB0000518,C02528,Bile Acids,Bile Acids
MP0035,Cholic acid,HMDB0000619,C00695,Bile Acids,Bile Acids
MP0049,Deoxycholic acid,HMDB0000626,C04483,Bile Acids,Bile Acids
MP0065,Glycochenodeoxycholic acid,HMDB0000637,C05466,Bile Acids,Bile Acids
MP0066,Glycocholic acid,HMDB0000138,C01921,Bile Acids,Bile Acids
MP0067,Glycodeoxycholic acid,HMDB0000631,C05464,Bile Acids,Bile Acids
MP0168,Glycolithocholic acid,HMDB0000698,C15557,Bile Acids,Bile Acids
MP0059,Glycolithocholic acid-3-sulfate,HMDB0002639,,Bile Acids,Bile Acids
MP0068,Glycoursodeoxycholic acid,HMDB0000708,,Bile Acids,Bile Acids
MP0170,Hyodeoxycholic acid,HMDB0000733,,Bile Acids,Bile Acids
MP0030,Isohyodeoxycholic acid,HMDB0000664,,Bile Acids,Bile Acids
MP0179,Lithocholic acid,HMDB0000761,C03990,Bile Acids,Bile Acids
MP0113,Murocholic acid,HMDB0000811,,Bile Acids,Bile Acids
MP0141,Taurochenodeoxycholic acid,HMDB0000951,C05465,Bile Acids,Bile Acids
MP0142,Taurocholic acid,HMDB0000036,C05122,Bile Acids,Bile Acids
MP0203,Taurodeoxycholic acid,HMDB0000896,C05463,Bile Acids,Bile Acids
MP0194,5-Phosphoribosyl Diphosphate,HMDB0000280,C00119,Carbohydrates,Carbohydrates
ML003,C=CCH2C=C [NMR Large],,,Carbohydrates,Carbohydrates
MS011,C=CCH2C=C [NMR Small],,,Carbohydrates,Carbohydrates
ML005,CH2C=C [NMR Large],,,Carbohydrates,Carbohydrates
MS019,CH2C=C [NMR Small],,,Carbohydrates,Carbohydrates
MS022,CH2CH2CO,,,Carbohydrates,Carbohydrates
ML006,CH2CH2COO,,,Carbohydrates,Carbohydrates
ML004,CH2COO [NMR Large],,,Carbohydrates,Carbohydrates
MS017,CH2COO [NMR Small],,,Carbohydrates,Carbohydrates
MP0041,D-Fructose,HMDB0000660,C00795,Carbohydrates,Carbohydrates
MP0042,D-Gluconolactone,HMDB0000150,C00198,Carbohydrates,Carbohydrates
MP0043,D-Glucose [MS],HMDB0000122,C00031,Carbohydrates,Carbohydrates
MS006,D-Glucose [NMR Small],HMDB0000122,C00031,Carbohydrates,Carbohydrates
MP0044,D-Maltose/Alpha-Lactose,HMDB0000163/HMDB0000186,,Carbohydrates,Carbohydrates
MP0045,D-Xylose,HMDB0000098,C00181,Carbohydrates,Carbohydrates
MP0046,D-Xylulose,HMDB0001644,,Carbohydrates,Carbohydrates
MP0166,"Fructose-1,6-bisphosphate",HMDB0001058,C00354,Carbohydrates,Carbohydrates
MP0167,Glucaric acid,HMDB0000663,C00818,Carbohydrates,Carbohydrates
MP0177,Lactulose,HMDB0000740,C07064,Carbohydrates,Carbohydrates
MP0108,Maltotriose,HMDB0001262,C01835,Carbohydrates,Carbohydrates
MP0119,N-Acetylneuraminic acid,HMDB0000230,C19910,Carbohydrates,Carbohydrates
MP0199,Rhamnose,HMDB0000849,C00507,Carbohydrates,Carbohydrates
MP0140,Tartaric acid,HMDB0000956,C00898,Carbohydrates,Carbohydrates
MP0143,Threonic acid,HMDB0000943,C01620,Carbohydrates,Carbohydrates
MP0204,Trehalose,HMDB0000975,C01083,Carbohydrates,Carbohydrates
MP0150,2-Methylbutyroylcarnitine,HMDB0000378,,Carnitines,Carnitines
MP0154,3-Hydroxybutyrylcarnitine,HMDB0062735,,Carnitines,Carnitines
MP0016,3-Hydroxylisovalerylcarnitine,HMDB0062555,,Carnitines,Carnitines
MP0021,Adipoylcarnitine,HMDB0061677,,Carnitines,Carnitines
MP0033,Carnitine,HMDB0000062,C00318,Carnitines,Carnitines
MP0048,Decanoylcarnitine C10,HMDB0000651,,Carnitines,Carnitines
