"Name","Arm","Week12 N","Week12 fold change (log2, Mean [SE])","Week24 N","Week24 fold change (log2, Mean [SE]) ","KW Test P value","Week12 vs Week0 Dunn's Test P value","Week24 vs Week0 Dunn's Test P value"
"hsa-miR-92a-3p","CG32",192,"-0.01 (0.03)",189,"0.02 (0.03)",0.589197425113089,0.714108776608121,0.308888408761186
"hsa-miR-92a-3p","CG48",197,"0.04 (0.03)",193,"0.04 (0.03)",0.527231150887451,0.359070404640057,0.30525478551988
"hsa-miR-92a-3p","PB",99,"0.04 (0.04)",78,"0.06 (0.05)",0.766711326823787,0.520172228626228,0.541548008148892
"hsa-miR-92a-3p","SP",123,"-0.02 (0.03)",126,"-0.01 (0.03)",0.833546011331611,0.547264779032612,0.78885738275343
"hsa-miR-451a","CG32",192,"0.06 (0.05)",189,"0.08 (0.05)",0.334396087626003,0.472853553101034,0.13883574045848
"hsa-miR-451a","CG48",197,"0.01 (0.05)",193,"0.01 (0.06)",0.963379482620265,0.989662158129469,0.806718703584404
"hsa-miR-451a","PB",99,"0 (0.08)",78,"-0.06 (0.11)",0.896931137507473,0.782054854974772,0.844747172608158
"hsa-miR-451a","SP",123,"0.07 (0.06)",126,"0.16 (0.06)",0.532055137860109,0.944296943200747,0.351939300434114
"hsa-miR-122-5p","CG32",192,"-0.47 (0.09)",189,"-0.55 (0.11)",6.25651111690521e-06,7.60071133868746e-05,8.63938312918373e-06
"hsa-miR-122-5p","CG48",197,"-0.44 (0.1)",193,"-0.56 (0.11)",3.06172015236259e-05,0.000294701480011469,2.87233479360325e-05
"hsa-miR-122-5p","PB",99,"-0.01 (0.14)",78,"0.02 (0.14)",0.933391708560106,0.71428453394601,0.817655976510441
"hsa-miR-122-5p","SP",123,"-0.1 (0.1)",126,"-0.21 (0.13)",0.628790139776138,0.736100640605843,0.342800143632413
"hsa-let-7a-5p","CG32",192,"0.09 (0.04)",189,"0.02 (0.04)",0.118847210132586,0.0436712438086315,0.545065964572093
"hsa-let-7a-5p","CG48",197,"0.06 (0.04)",193,"0.09 (0.04)",0.330039826221164,0.333777387311236,0.144328843545817
"hsa-let-7a-5p","PB",99,"-0.01 (0.07)",78,"0.1 (0.07)",0.806895932738419,0.88074173511186,0.626590470426753
"hsa-let-7a-5p","SP",123,"0.02 (0.05)",126,"0.02 (0.05)",0.83362136366104,0.733877123996177,0.547211787770799
"hsa-let-7b-5p","CG32",192,"0.07 (0.04)",189,"0.07 (0.04)",0.115834166218458,0.0594299896492689,0.092778172963088
"hsa-let-7b-5p","CG48",197,"0.08 (0.04)",193,"0.07 (0.04)",0.188978993041035,0.0732550421298199,0.238383544818086
"hsa-let-7b-5p","PB",99,"0.04 (0.07)",78,"0.18 (0.1)",0.178618693049282,0.610625248811278,0.0703876638591602
"hsa-let-7b-5p","SP",123,"0.01 (0.05)",126,"0 (0.04)",0.967085605891933,0.840377666431807,0.80869402297525
"hsa-miR-486-5p","CG32",192,"-0.07 (0.05)",189,"0.04 (0.07)",0.298717194198986,0.28982747473381,0.634232530687752
