"Name","Arm","Week12 N","Week12 fold change (log2, Mean [SE])","Week24 N","Week24 fold change (log2, Mean [SE]) ","KW Test P value","Week12 vs Week0 Dunn's Test P value","Week24 vs Week0 Dunn's Test P value"
"Unsaturated fatty acids [NMR Large]","CG32",212,"-0.02 (0.02)",201,"0.01 (0.03)",0.670316263237655,0.47335560668228,0.904803547813742
"Unsaturated fatty acids [NMR Large]","CG48",217,"-0.03 (0.02)",200,"-0.03 (0.02)",0.891203382995446,0.631365675743704,0.824087595036412
"Unsaturated fatty acids [NMR Large]","PB",107,"0.02 (0.03)",84,"-0.01 (0.04)",0.839921049258864,0.932649504245508,0.63529322552926
"Unsaturated fatty acids [NMR Large]","SP",135,"-0.08 (0.03)",133,"-0.02 (0.03)",0.593521409841226,0.384173865969215,0.972662219123175
"Triglycerides [NMR Large]","CG32",212,"-0.05 (0.02)",201,"-0.01 (0.03)",0.296017256623485,0.134328727173997,0.732017815756867
"Triglycerides [NMR Large]","CG48",217,"-0.1 (0.02)",200,"-0.11 (0.03)",0.0293587453085904,0.0146495909862329,0.035581114942807
"Triglycerides [NMR Large]","PB",107,"0.02 (0.03)",84,"0 (0.04)",0.649070125402903,0.75882733835338,0.531034985919986
"Triglycerides [NMR Large]","SP",135,"-0.1 (0.03)",133,"-0.05 (0.03)",0.45845064640405,0.213141999601601,0.482565781104232
"C=CCH2C=C [NMR Large]","CG32",212,"-0.03 (0.01)",201,"-0.02 (0.02)",0.476692776126509,0.23757978828721,0.406091566625457
"C=CCH2C=C [NMR Large]","CG48",217,"-0.03 (0.01)",200,"-0.03 (0.02)",0.561979195907284,0.303235621882251,0.443571756813395
"C=CCH2C=C [NMR Large]","PB",107,"0 (0.02)",84,"-0.02 (0.02)",0.678713413505632,0.798836278744293,0.38834216515084
"C=CCH2C=C [NMR Large]","SP",135,"-0.05 (0.02)",133,"-0.01 (0.02)",0.375859145840829,0.296399650443034,0.769918557512413
"CH2COO [NMR Large]","CG32",212,"-0.04 (0.01)",201,"-0.03 (0.02)",0.223065963841164,0.0932349775801462,0.234637285295727
"CH2COO [NMR Large]","CG48",217,"-0.06 (0.02)",200,"-0.06 (0.02)",0.0606344896879375,0.0292458232039308,0.0620191988644381
"CH2COO [NMR Large]","PB",107,"0.01 (0.02)",84,"-0.01 (0.03)",0.6483755184214,0.981534399147779,0.40658761909068
"CH2COO [NMR Large]","SP",135,"-0.06 (0.02)",133,"-0.02 (0.02)",0.453257978151838,0.30713071584469,0.894090754210752
"CH2C=C [NMR Large]","CG32",212,"-0.01 (0.01)",201,"0 (0.01)",0.840010426848995,0.628053354248074,0.952063302416237
