"Name","Arm","N","Week24 fold change (log2, Mean [SE])","KW Test P value"
"A1BG","CG32",216,"-0.08 (0.02)",0.00375185761486699
"A1BG","CG48",214,"-0.07 (0.03)",0.0124025116353018
"A1BG","PB",91,"0 (0.04)",0.939154761726424
"A1BG","SP",146,"-0.1 (0.03)",0.00101053723083794
"A2M","CG32",216,"0.14 (0.02)",0.000902681733755386
"A2M","CG48",214,"0.15 (0.02)",0.000255174556572619
"A2M","PB",91,"-0.02 (0.03)",0.894430092067315
"A2M","SP",146,"-0.02 (0.02)",0.576746482066599
"A2ML1","CG32",124,"0.08 (0.13)",0.574731887589975
"A2ML1","CG48",133,"-0.11 (0.11)",0.100653828937857
"A2ML1","PB",41,"0.23 (0.26)",0.176307400677156
"A2ML1","SP",96,"0.05 (0.13)",0.983049333940604
"ABI3BP","CG32",211,"-0.01 (0.09)",0.514623991078014
"ABI3BP","CG48",203,"-0.02 (0.08)",0.674050697767414
"ABI3BP","PB",90,"-0.03 (0.13)",0.529313480809335
"ABI3BP","SP",135,"0.04 (0.09)",0.975415402398303
"ACAA2","CG32",162,"0.46 (0.13)",0.00995413036305226
"ACAA2","CG48",163,"-0.1 (0.15)",0.82171254787789
"ACAA2","PB",81,"0.08 (0.19)",0.838357469830115
"ACAA2","SP",99,"-0.13 (0.19)",0.505887962135497
"ACACA","CG32",216,"-0.07 (0.05)",0.144211510510827
"ACACA","CG48",214,"-0.01 (0.06)",0.856911016666268
"ACACA","PB",91,"0.06 (0.11)",0.806117640796316
"ACACA","SP",146,"-0.08 (0.05)",0.383311639867588
"ACACB","CG32",216,"-0.01 (0.03)",0.412461163043864
"ACACB","CG48",214,"0 (0.03)",0.723445084946365
"ACACB","PB",90,"-0.01 (0.05)",0.868518483759967
"ACACB","SP",146,"-0.08 (0.04)",0.332376797851683
"ACE","CG32",216,"-0.28 (0.11)",0.0371164428900304
"ACE","CG48",214,"-0.07 (0.1)",0.865853805346694
"ACE","PB",91,"-0.23 (0.18)",0.798852618485636
"ACE","SP",146,"-0.15 (0.15)",0.465711592403278
"ACE2","CG32",211,"-0.07 (0.09)",0.479013771571837
"ACE2","CG48",208,"0.04 (0.09)",0.978872421372472
"ACE2","PB",87,"-0.29 (0.14)",0.143831831252111
"ACE2","SP",141,"-0.07 (0.09)",0.520056751503523
"ACTA1","CG32",216,"-0.11 (0.08)",0.353390881267066
"ACTA1","CG48",214,"0.1 (0.09)",0.204092519522367
"ACTA1","PB",91,"0.2 (0.14)",0.323337809004851
"ACTA1","SP",146,"-0.11 (0.09)",0.859302918014707
"ACTA2","CG32",216,"-0.07 (0.07)",0.622190846191364
"ACTA2","CG48",214,"0.09 (0.08)",0.199319747208775
"ACTA2","PB",91,"0.16 (0.14)",0.443173310469923
"ACTA2","SP",146,"-0.11 (0.08)",0.899840909639403
"ACTB","CG32",216,"-0.06 (0.07)",0.535333326239686
"ACTB","CG48",214,"-0.01 (0.07)",0.651771408729865
"ACTB","PB",91,"0.19 (0.12)",0.284697651020179
"ACTB","SP",146,"-0.09 (0.08)",0.534333827647251
"ACTBL2","CG32",216,"-0.01 (0.09)",0.7297199793011
"ACTBL2","CG48",214,"0.08 (0.09)",0.442594636136494
"ACTBL2","PB",91,"0.18 (0.16)",0.523689853987233
"ACTBL2","SP",146,"-0.14 (0.1)",0.931208527780033
"ACTC1","CG32",216,"-0.08 (0.07)",0.572850396582639
"ACTC1","CG48",214,"0.08 (0.08)",0.259136449697178
"ACTC1","PB",91,"0.17 (0.14)",0.37781402602746
"ACTC1","SP",146,"-0.1 (0.08)",0.923878034138519
"ACTG1","CG32",216,"-0.06 (0.07)",0.533915474036016
"ACTG1","CG48",214,"0 (0.07)",0.649210643896344
"ACTG1","PB",91,"0.18 (0.12)",0.291089823339744
"ACTG1","SP",146,"-0.09 (0.08)",0.535201109518069
"ACTG2","CG32",216,"-0.07 (0.07)",0.655036008324348
"ACTG2","CG48",214,"0.08 (0.08)",0.27916287183599
"ACTG2","PB",91,"0.12 (0.13)",0.688824533382948
"ACTG2","SP",146,"-0.12 (0.08)",0.84689885866467
"ACTN1","CG32",204,"-0.08 (0.18)",0.76789586265117
"ACTN1","CG48",201,"0.03 (0.19)",0.750695091642731
"ACTN1","PB",90,"0.15 (0.23)",0.493909903595266
"ACTN1","SP",138,"-0.38 (0.2)",0.052496113498267
"ACTN4","CG32",197,"-0.16 (0.2)",0.546947388610604
"ACTN4","CG48",198,"-0.49 (0.2)",0.0447773240619067
"ACTN4","PB",77,"0.82 (0.29)",0.003771727751136
"ACTN4","SP",133,"-0.02 (0.19)",0.443719419466892
"ACTR1B","CG32",205,"0.01 (0.13)",0.640328428380485
"ACTR1B","CG48",197,"0.06 (0.09)",0.26384517293748
"ACTR1B","PB",82,"-0.05 (0.17)",0.629227998831416
"ACTR1B","SP",140,"-0.04 (0.13)",0.999458061486623
"ADAMTS13","CG32",210,"-0.02 (0.1)",0.629333172902138
"ADAMTS13","CG48",209,"-0.11 (0.08)",0.200836408513302
"ADAMTS13","PB",90,"-0.03 (0.16)",0.853513848084296
"ADAMTS13","SP",141,"-0.01 (0.1)",0.869997296134086
"ADARB1","CG32",139,"-0.09 (0.08)",0.91507996306681
"ADARB1","CG48",151,"0.03 (0.09)",0.74307437612185
"ADARB1","PB",67,"0.07 (0.13)",0.420542521797854
"ADARB1","SP",97,"0 (0.14)",0.518604542196674
"ADGRB3","CG32",144,"0.04 (0.06)",0.608582106405255
"ADGRB3","CG48",150,"0.17 (0.07)",0.0402739709405768
"ADGRB3","PB",77,"-0.03 (0.1)",0.664482845993077
"ADGRB3","SP",102,"-0.04 (0.09)",0.364037782252679
"ADH1A","CG32",126,"-0.15 (0.17)",0.10921102300442
"ADH1A","CG48",116,"0.05 (0.18)",0.318602549706654
"ADH1A","PB",54,"-0.32 (0.31)",0.017467499725916
"ADH1A","SP",82,"-0.24 (0.31)",0.984371498080093
"ADH1B","CG32",146,"-0.22 (0.15)",0.0913400287002965
"ADH1B","CG48",141,"0 (0.17)",0.616546362292776
"ADH1B","PB",62,"-0.62 (0.24)",0.00937887934365342
"ADH1B","SP",98,"-0.21 (0.26)",0.8838736074056
"ADH1C","CG32",130,"-0.07 (0.16)",0.331698407690939
"ADH1C","CG48",127,"-0.07 (0.16)",0.17051498436598
"ADH1C","PB",56,"-0.42 (0.23)",0.013476095067325
"ADH1C","SP",84,"-0.16 (0.3)",0.877122811520564
"ADIPOQ","CG32",216,"0.28 (0.16)",0.00276141834397075
"ADIPOQ","CG48",213,"0.39 (0.14)",4.58462912635227e-05
"ADIPOQ","PB",89,"-0.33 (0.18)",0.499978433798484
"ADIPOQ","SP",144,"0 (0.14)",0.655164212599866
"ADSL","CG32",182,"0.09 (0.1)",0.22597221128246
"ADSL","CG48",173,"0.15 (0.09)",0.535563060879947
"ADSL","PB",63,"0.05 (0.18)",0.27876058891597
"ADSL","SP",121,"0.11 (0.14)",0.30574014483874
"AFM","CG32",216,"-0.08 (0.03)",0.055497066847923
"AFM","CG48",214,"0.02 (0.03)",0.462278232769012
"AFM","PB",91,"0.01 (0.05)",0.616058522103136
"AFM","SP",146,"0 (0.04)",0.902971460114407
"AGT","CG32",216,"0 (0.03)",0.608551916312524
"AGT","CG48",214,"-0.01 (0.02)",0.969645342732603
"AGT","PB",91,"0.01 (0.04)",0.822524337415373
"AGT","SP",146,"-0.04 (0.02)",0.167422986802582
"AHNAK","CG32",192,"-0.09 (0.16)",0.692803301053281
"AHNAK","CG48",192,"-0.15 (0.16)",0.235096597261886
"AHNAK","PB",87,"-0.06 (0.25)",0.876186650070323
"AHNAK","SP",129,"-0.04 (0.21)",0.4381849412267
"AHNAK2","CG32",169,"0.15 (0.09)",0.398118175869536
"AHNAK2","CG48",171,"0.07 (0.1)",0.46367856249649
"AHNAK2","PB",72,"-0.05 (0.13)",0.679268648044243
"AHNAK2","SP",113,"0.08 (0.08)",0.812466021819381
"AHSG","CG32",216,"-0.07 (0.03)",0.0209266034181096
"AHSG","CG48",214,"-0.03 (0.03)",0.221316916192376
"AHSG","PB",91,"-0.04 (0.05)",0.27840112338967
"AHSG","SP",146,"0.02 (0.03)",0.856198521143317
"AKR1A1","CG32",167,"-0.08 (0.26)",0.632791115467839
"AKR1A1","CG48",159,"0.02 (0.29)",0.992929692318593
"AKR1A1","PB",59,"0.08 (0.55)",0.551900617956812
"AKR1A1","SP",125,"0.06 (0.28)",0.570905936925952
"AKR1B1","CG32",194,"0.19 (0.12)",0.0397632109035444
"AKR1B1","CG48",192,"0.18 (0.12)",0.017735536688295
"AKR1B1","PB",89,"-0.09 (0.16)",0.742058042940987
"AKR1B1","SP",130,"0.01 (0.12)",0.57439630761727
"ALB","CG32",216,"0.01 (0.02)",0.926174025969924
"ALB","CG48",214,"0.01 (0.01)",0.767042845026328
"ALB","PB",91,"-0.02 (0.02)",0.080768003253333
"ALB","SP",146,"-0.05 (0.02)",0.0428674128149418
"ALDH1A1","CG32",202,"0.02 (0.12)",0.594142153014124
"ALDH1A1","CG48",199,"-0.11 (0.15)",0.769536958152289
"ALDH1A1","PB",80,"-0.05 (0.25)",0.785923162831221
"ALDH1A1","SP",139,"0.15 (0.2)",0.971687548103242
"ALDOA","CG32",205,"0.02 (0.13)",0.829280231147975
"ALDOA","CG48",205,"0.09 (0.12)",0.75241298199985
"ALDOA","PB",91,"-0.13 (0.12)",0.436221836214525
"ALDOA","SP",139,"-0.05 (0.16)",0.140796429430423
"ALDOB","CG32",194,"-0.36 (0.15)",0.0153433580534932
"ALDOB","CG48",181,"-0.16 (0.14)",0.0196756700278416
"ALDOB","PB",85,"-0.05 (0.27)",0.419352948892818
"ALDOB","SP",131,"0.13 (0.16)",0.37733085861517
"AMBP","CG32",216,"-0.08 (0.03)",0.0316812907544533
"AMBP","CG48",214,"-0.03 (0.03)",0.669292358700678
"AMBP","PB",91,"-0.02 (0.05)",0.926083859050575
"AMBP","SP",146,"-0.03 (0.04)",0.493555552772495
"AMPD3","CG32",179,"0.11 (0.06)",0.00551207244131688
"AMPD3","CG48",176,"0.1 (0.05)",0.046635711759619
"AMPD3","PB",75,"-0.02 (0.07)",0.987033455153145
"AMPD3","SP",131,"0.05 (0.07)",0.904027991153251
"AMY1A","CG32",129,"-0.23 (0.31)",0.435667715655296
"AMY1A","CG48",129,"-0.06 (0.29)",0.652891644116785
"AMY1A","PB",59,"-0.1 (0.45)",0.732320043010114
"AMY1A","SP",97,"-0.06 (0.34)",0.546789119732905
"AMY2A","CG32",133,"-0.13 (0.28)",0.525195696670365
"AMY2A","CG48",133,"0.27 (0.26)",0.33365087741066
"AMY2A","PB",59,"-0.08 (0.45)",0.606922349339922
"AMY2A","SP",95,"0.11 (0.33)",0.651681324522144
"AMY2B","CG32",130,"-0.2 (0.29)",0.473180184333876
"AMY2B","CG48",130,"0.07 (0.28)",0.505083654921727
"AMY2B","PB",60,"-0.16 (0.44)",0.635166621082214
"AMY2B","SP",95,"0.07 (0.34)",0.817130093844655
"ANK1","CG32",196,"-0.14 (0.12)",0.373872662445462
"ANK1","CG48",201,"0 (0.1)",0.511545609608602
"ANK1","PB",84,"0.1 (0.15)",0.373960925560121
"ANK1","SP",140,"-0.25 (0.12)",0.136399435219036
"ANPEP","CG32",215,"-0.04 (0.1)",0.6271821520999
"ANPEP","CG48",214,"0.15 (0.12)",0.229757262057491
"ANPEP","PB",91,"-0.19 (0.22)",0.540648641225614
"ANPEP","SP",145,"0.07 (0.13)",0.354535469843345
