id,name,subgroup,n,mean,sd,se,ci,median,iqr,type
ALT,Alanine aminotransferase (U/L),SIDD,268,22.9563432835821,11.0327363094327,0.673931632326515,1.32689632319636,20.0,11.0,CLN
ALT,Alanine aminotransferase (U/L),MARD,310,24.0064516129032,12.3770310152845,0.70296812379738,1.38320991052945,21.0,13.0,CLN
ALT,Alanine aminotransferase (U/L),MOD,163,30.5398773006135,14.516591358725,1.13702718799263,2.24530553715357,28.0,17.0,CLN
ALT,Alanine aminotransferase (U/L),SIRD,85,38.0235294117647,21.179491692374,2.29723841459656,4.56831051861466,31.0,22.0,CLN
AST,Aspartate aminotransferase (U/L),SIDD,268,19.7649253731343,6.97566403709746,0.426106499714229,0.838956239239039,18.0,8.0,CLN
AST,Aspartate aminotransferase (U/L),MARD,310,21.4935483870968,8.00838700670164,0.454845817368662,0.894986872162276,19.5,8.75,CLN
AST,Aspartate aminotransferase (U/L),MOD,163,22.6257668711656,8.9450212992525,0.700628140800438,1.38354144970106,21.0,9.0,CLN
AST,Aspartate aminotransferase (U/L),SIRD,85,30.8823529411765,16.2761962947837,1.76540135688687,3.51069420439726,25.0,19.0,CLN
BUN,Blood urea nitrogen (mmol/L),SIDD,268,5.3490671641791,1.40897799015651,0.0860670290838424,0.16945639433119,5.015,1.94,CLN
BUN,Blood urea nitrogen (mmol/L),MARD,310,5.28187096774194,1.33647935662151,0.0759069266820088,0.149359849629042,5.0,1.79,CLN
BUN,Blood urea nitrogen (mmol/L),MOD,163,5.11803680981595,1.42029768175883,0.111246300133128,0.219679824998502,5.0,2.09,CLN
BUN,Blood urea nitrogen (mmol/L),SIRD,85,5.26458823529412,1.24346822287042,0.134873065435115,0.268209881738918,5.0,1.79,CLN
CKMB,"Creatine kinase, MB form",SIDD,232,15.2068965517241,7.09885941863404,0.46606295381674,0.918277620291052,14.25,7.0,CLN
CKMB,"Creatine kinase, MB form",MARD,268,15.3108208955224,10.4739481731982,0.639798214268183,1.259691424736,14.0,7.0,CLN
CKMB,"Creatine kinase, MB form",MOD,146,14.4856164383562,4.84293996952446,0.400804563692622,0.792174012657194,14.0,6.0,CLN
CKMB,"Creatine kinase, MB form",SIRD,75,13.7453333333333,4.96297898044716,0.573075450068725,1.14187776028232,13.0,5.9,CLN
EGFR,eGFR (mL/min per 1.73 m-2),SIDD,268,99.1191417910448,18.6095455251862,1.13675891826768,2.238151700645,96.0,23.0,CLN
EGFR,eGFR (mL/min per 1.73 m-2),MARD,310,93.3967741935484,17.6889884726372,1.00466703388942,1.9768540720612,92.0,22.75,CLN
EGFR,eGFR (mL/min per 1.73 m-2),MOD,163,103.656441717791,20.3464985819286,1.59366076349607,3.14702706708305,102.0,26.0,CLN
EGFR,eGFR (mL/min per 1.73 m-2),SIRD,85,94.3294117647059,16.9047670335732,1.83357942595538,3.64627377162264,93.0,26.0,CLN
FFA,Free fatty acids (mmol/L),SIDD,268,0.493059701492537,0.222602003254899,0.0135975815251257,0.0267721235576468,0.46,0.2625,CLN
FFA,Free fatty acids (mmol/L),MARD,310,0.513193548387097,0.20612261398759,0.0117069777920191,0.0230354793568655,0.485,0.25,CLN
FFA,Free fatty acids (mmol/L),MOD,163,0.512208588957055,0.196487754589318,0.0153901087076753,0.0303910906121295,0.49,0.245,CLN
FFA,Free fatty acids (mmol/L),SIRD,85,0.502117647058824,0.175798139905966,0.0190679854867347,0.0379187802686732,0.5,0.26,CLN
FINS,Fasting insulin (mU/L),SIDD,268,8.67276119402985,3.61667546386497,0.220923615918733,0.434973993812751,8.35,5.025,CLN
FINS,Fasting insulin (mU/L),MARD,310,9.90870967741935,3.9946835558723,0.226882779962982,0.446430640521794,9.7,5.75,CLN
FINS,Fasting insulin (mU/L),MOD,163,15.0509202453988,4.84240997160568,0.379286821338603,0.748983673490195,14.3,6.15,CLN
FINS,Fasting insulin (mU/L),SIRD,85,27.8411764705882,8.31116996688718,0.90147295296275,1.79267782877886,26.2,12.0,CLN
FPG,Fasting plasma glucose (mmol/L),SIDD,268,10.1526119402985,2.13470359636913,0.130397776116911,0.256738697789277,9.9,2.6,CLN
FPG,Fasting plasma glucose (mmol/L),MARD,310,8.75193548387097,1.88201661338072,0.106891360781916,0.210327018506662,8.3,2.1,CLN
FPG,Fasting plasma glucose (mmol/L),MOD,163,9.28036809815951,2.15947121144276,0.16914283928107,0.334009034804298,9.0,3.05,CLN
FPG,Fasting plasma glucose (mmol/L),SIRD,85,8.78235294117647,2.25700900216511,0.244806998070253,0.486825562905808,8.2,2.3,CLN
HB,Hemoglobin (g/L),SIDD,268,149.192537313433,15.3360881430187,0.936800683515955,1.84445620727729,150.0,21.25,CLN
HB,Hemoglobin (g/L),MARD,310,146.239032258065,15.2023096641652,0.863433168165113,1.6989523064492,146.0,19.0,CLN
HB,Hemoglobin (g/L),MOD,163,150.481595092025,16.9239848766962,1.32558880101105,2.6176611310003,153.0,18.5,CLN
HB,Hemoglobin (g/L),SIRD,85,149.044705882353,13.654002604176,1.48098451799052,2.9451001291173,150.0,18.0,CLN
HCT,Hematocrit (%),SIDD,268,43.8458208955224,3.98516157850002,0.243432487857722,0.479291455677594,43.9,5.5,CLN
HCT,Hematocrit (%),MARD,310,43.1736451612903,3.88377313826897,0.220583491541072,0.434035714095543,43.15,4.90000000000001,CLN
HCT,Hematocrit (%),MOD,163,44.5296932515337,4.2164974967255,0.330261572665831,0.652172741027233,45.2,5.05,CLN
HCT,Hematocrit (%),SIRD,85,44.2223529411765,3.59219976611322,0.389628769919505,0.774819538393782,44.0,3.9,CLN
HDLC,HDL-cholesterol (mmol/L),SIDD,267,1.17842696629213,0.283097391022807,0.0173252789703499,0.0341121285367004,1.11,0.39,CLN
HDLC,HDL-cholesterol (mmol/L),MARD,310,1.22835483870968,0.306151922900388,0.017388260768877,0.0342143744618975,1.19,0.36,CLN
HDLC,HDL-cholesterol (mmol/L),MOD,163,1.04515337423313,0.230234329980364,0.0180333444903096,0.0356107300380161,1.01,0.26,CLN
HDLC,HDL-cholesterol (mmol/L),SIRD,85,1.04270588235294,0.273092467487332,0.0296210369994267,0.058904680522905,0.98,0.29,CLN
HSCRP,Hypersensitive C-reactive protein (mg/L),SIDD,244,3.01954918032787,6.22824234247381,0.398722358498149,0.785393092653819,1.285,2.3825,CLN
HSCRP,Hypersensitive C-reactive protein (mg/L),MARD,287,2.38108013937282,3.49131458057681,0.206085783537163,0.405637257737829,1.6,2.2,CLN
HSCRP,Hypersensitive C-reactive protein (mg/L),MOD,143,3.16531468531469,3.0312157195264,0.253482992606185,0.501087966482861,2.17,3.2,CLN
HSCRP,Hypersensitive C-reactive protein (mg/L),SIRD,78,3.56525641025641,4.79261030856501,0.54265625859928,1.08056666012083,2.175,2.3125,CLN
LDLC,LDL-cholesterol (mmol/L),SIDD,267,2.90516853932584,0.788611293502438,0.0482622273901405,0.0950245769212388,2.87,1.025,CLN
LDLC,LDL-cholesterol (mmol/L),MARD,310,2.78438709677419,0.838636652807206,0.0476313611595199,0.0937228425834647,2.77,1.06,CLN
LDLC,LDL-cholesterol (mmol/L),MOD,163,2.66343558282209,0.72099158431425,0.056472419276751,0.111516977815107,2.59,0.97,CLN
LDLC,LDL-cholesterol (mmol/L),SIRD,85,2.74611764705882,0.833255368901948,0.0903792343278764,0.179729019078278,2.8,1.11,CLN
PBG,Two-hours postprandial blood glucose (mmol/L),SIDD,268,17.4746268656716,3.46153148689726,0.211446689188047,0.416314980596917,17.35,3.85,CLN
PBG,Two-hours postprandial blood glucose (mmol/L),MARD,309,15.284142394822,3.4477323140766,0.196134638631131,0.385933344801399,15.0,3.8,CLN
PBG,Two-hours postprandial blood glucose (mmol/L),MOD,163,15.2638036809816,3.21258755149735,0.251629277121153,0.496896305731731,15.2,4.35,CLN
PBG,Two-hours postprandial blood glucose (mmol/L),SIRD,85,14.3341176470588,2.95242244933338,0.320235176803984,0.636822768298079,14.3,4.1,CLN
PLT,Platelet count (109/L),SIDD,268,213.182835820896,58.6619618807902,3.58334964391345,7.05521634415891,207.0,71.0,CLN
PLT,Platelet count (109/L),MARD,310,220.563225806452,59.2020783980417,3.36245210381903,6.61619910808878,216.0,79.5,CLN
PLT,Platelet count (109/L),MOD,163,238.107975460123,54.924360986966,4.3020079701952,8.49524304991441,233.0,81.1,CLN
PLT,Platelet count (109/L),SIRD,85,231.058823529412,61.0074845020355,6.61719077169557,13.1590095368163,229.0,88.0,CLN
RBC,Erythrocyte count (1012/L),SIDD,268,4.99518656716418,0.470113902333464,0.0287167771161268,0.0565401357373543,4.965,0.577499999999999,CLN
RBC,Erythrocyte count (1012/L),MARD,310,4.85661290322581,0.442091760556631,0.0251091247231258,0.0494064936744676,4.87,0.62,CLN
RBC,Erythrocyte count (1012/L),MOD,163,5.12791411042945,0.45483066172923,0.0356250868774357,0.0703494214317787,5.14,0.57,CLN
RBC,Erythrocyte count (1012/L),SIRD,85,4.98894117647059,0.396559680038116,0.0430129364715441,0.0855359412723247,5.05,0.49,CLN
SCR,Serum creatinine (μmol/L),SIDD,268,69.0186567164179,13.5523546769539,0.827841820301517,1.62992834117937,69.0,19.5,CLN
SCR,Serum creatinine (μmol/L),MARD,310,70.5096774193548,15.4049408885299,0.874941848351705,1.72159760138123,70.0,19.0,CLN
SCR,Serum creatinine (μmol/L),MOD,163,69.398773006135,14.8812334702572,1.16558816242895,2.30170534423435,68.0,22.0,CLN
